title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
趣学Python编程,JasonBriggs,人民邮电出版社,无,PythonforKids:APlayfulIntroductiontoProgramming,尹哲,2014-3,268,45.00元,9787115335951
逆向工程核心原理,[韩]李承远,人民邮电出版社,无,无,武传海,2014-4-25,700,109.00元,9787115350183
快学Scala,[美]C.S.霍斯曼,电子工业出版社,无,ScalafortheImpatient,高宇翔,2012-10,408,79.00元,9787121185670
Fortran95程序设计,彭国伦,中国电力出版社,无,无,无,2002-9,582,59.00元,9787508310626
C++语言99个常见编程错误,StephenC.Dewhurst,清华大学出版社,避免编码和设计中的常见问题,无,高博,2009,275,39.00元,9787302199397
C#入门经典,[美]KarliWatson/ChristianNagel,清华大学出版社,无,BeginningVisualC#2005,齐立波,2006-5,864,98.00元,9787302127352
Python高手之路,JulienDanjou,人民邮电出版社,无,TheHacker'sGuidetoPython,王飞龙,2015-5,202,49.00元,9787115387134
iOS编程（第4版）,[美]ChristianKeur/[美]AaronHillegass/[美]JoeConway,华中科技大学出版社,无,"iOSProgarmming,4thEdition",丁道骏,2015-1-1,560,99.90,9787560997902
Programming Python,[美]MarkLutz,O'ReillyMedia,3rdedition,无,无,2006-8-30,1552,USD59.99,9780596009250
Java Nio,RonHitchens,O'ReillyMedia,无,无,无,2002-8-15,312,USD39.99,9780596002886
游戏编程精粹 1,德洛拉（MarkA.Deloura）,人民邮电出版社,无,无,王淑礼,2004-10,540,80.00元,9787115125873
python绝技：运用python成为顶级黑客,[美]TJO'Connor,电子工业出版社,运用Python成为顶级黑客,ViolentPython,崔孝晨,2016-1,264,79.00元,9787121277139
计算机系统要素,NoamNisan/ShimonSchocken,电子工业出版社,从零开始构建现代计算机,TheElementsofComputerSystems:BuildingaModernComputerfromFirstPrinciples,周维,2007-01-01,325,45.00元,9787121033360
MFC Windows程序设计,[美]JeffProsise,清华大学出版社,无,"ProgrammingWindowswithMFC,2ndEdition",北京博彦科技发展有限责任公司,2001-9,1166,128.00元,9787900631923
Wxpython in Action,NoelRappin/RobinDunn,ManningPublications,无,无,无,2006-3-1,552,USD49.95,9781932394627
Modern PHP（中文版）,JoshLockhart,中国电力出版社,无,无,安道,2015-9,219,39,9787512380936
写给大家看的C++书,LarryUllman/AndreasSigner,人民邮电出版社,无,无,杨涛等,2009.7,324,49.00元,9787115195180
Python编程实战,[美]MarkSummerfield,机械工业出版社,运用设计模式、并发和程序库创建高质量程序,"PythoninPractice:CreateBetterProgramsUsingConcurrency,Libraries,andPatterns",爱飞翔,2014-8,252,69.00元,9787111473947
C#图解教程,[玻利维亚]索利斯,人民邮电出版社,无,IllustratedC#2008,苏林,2009-1,445,65.00元,9787115187734
