title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
C++GUI Qt4编程,JasminBlanchette/MarkSummerfield,电子工业出版社,无,无,闫锋欣,2008-8,492,65.00元,9787121070389
C程序设计,谭浩强,清华大学出版社,新世纪计算机基础教育丛书,无,无,2005-7-1,378,26.00元,9787302108535
七周七并发模型,PaulButcher,人民邮电出版社,无,SevenConcurrencyModelsinSevenWeeks:WhenThreadsUnravel,黄炎,2015-3,244,49.00元,9787115386069
啊哈!算法,啊哈磊,人民邮电出版社,无,无,无,2014-6-1,246,45.00元,9787115354594
Head First Object-Oriented Analysis and Design,BrettD.McLaughlin/GaryPollice/DaveWest,O'ReillyMedia,ABrainFriendlyGuidetoOOA&D,无,无,2006-12-4,636,USD49.99,9780596008673
C语言的科学和艺术,[美]罗伯茨,机械工业出版社,无,无,翁惠玉,2005-3,498,55.00元,9787111159711
算法竞赛入门经典（第2版）,刘汝佳,清华大学出版社,无,刘汝佳,无,2014-6-1,464,CNY49.80,9787302356288
编程匠艺,"（美）古德利弗（Goodliffe,P.）著",电子工业出版社,编写卓越的代码,CodeCraft:ThePracticeofWritingExcellentCode,韩江，陈玉译,2008-9,582,79.00元,9787121069802
计算机程序设计艺术,（美,机械工业出版社,无,无,无,2006-7,267,45.00元,9787111177739
The Seasoned Schemer,DanielP.Friedman/MatthiasFelleisen,TheMITPress,SeasonedSchemer,无,无,1995-12-21,224,USD38.00,9780262561006
程序是怎样跑起来的,[日]矢泽久雄,人民邮电出版社,无,无,李逢俊,2015-4,272,39.00元,9787115385130
编译原理,AlfredV.Aho/MonicaS.Lam/RaviSethi/JeffreyD.Ullman,机械工业出版社,原理、技术与工具,无,赵建华,2008年12月,631,89.00元,9787111251217
编程大师访谈录,SusanLammers,人民邮电出版社,无,ProgrammersatWork,李琳骁,2012-1,357,59.00元,9787115264312
垃圾收集,琼斯,人民邮电出版社,无,GarbageCollection:AlgorithmsforAutomaticDynamicMemoryManagement,谢之易,2004-4-1,341,45.00元,9787115120700
C语言核心技术,PeterPrinz/TonyCrawford,机械工业出版社,无,Cinanutsbell,O'ReillyTaiWan,2007年,589,69.00元,9787111220503
Debug Hacks中文版,吉岡弘隆/大和一洋/大岩尚宏/安部東洋/吉田俊輔,电子工业出版社,深入调试的技术和工具,DebugHacks,马晶慧,2011-8,424,69.00元,9787121140488
OpenGL编程指南（原书第7版）,[美]DaveShreiner,机械工业出版社,无,OpenGLprogrammingguide,李军,2010-3,519,89.00元,9787111294504
编程ING,蔡学镛,电子工业出版社,人人都能学会程序设计,编程ING：人人都能学会程序设计,无,2012-7,303,68.00元,9787121175282
程序员的职业素养,[美]RobertC·Martin,人民邮电出版社,无,TheCleanCoder：ACodeofConductforProfessionalProgrammers,章显洲,2012-9-1,178,49.00元,9787115291578
VC++深入详解,孙鑫,电子工业出版社,无,无,无,2006-6,767,89.00元,9787121025303
编程卓越之道,海德,电子工业出版社,第二卷：运用底层语言思想编写高级语言代码,"WriteGreatCode,Volume2:ThinkingLow-Level,WritingHigh-Level",张菲,2007-4,617,69.00元,9787121041259
Win32多线程程序设计,[美]JimBeveridge/RobertWiener,华中科技大学出版社,线程完全手册,无,侯捷,2002-1,453,59.80元,9787560926384
算法精解,KyleLoudon,机械工业出版社,C语言描述,MasteringAlgorithmswithC,肖翔,2012-8,401,79.00元,9787111394266
Python灰帽子,[美]JustinSeitz,电子工业出版社,黑客与逆向工程师的Python编程之道,GrayHatPython:PythonProgrammingforHackersandReverseEngineers,丁赟卿译,2011-3,216,39.00元,9787121129018
Objective-C基础教程,MarkDalrymple/ScottKnaster,人民邮电出版社,无,无,高朝勤,2009-8,264,49.00元,9787115208774
Head First Servlets & JSP（中文版）,（美）巴萨姆/（美）塞若/（美）贝茨,中国电力出版社,通过SCWCD考试之路,无,苏钰函,2006-10,854,98.00元,9787508342849
算法竞赛入门经典,无,无,训练指南,无,无,2012-10,511,52.80元,9787302291077
深入理解Nginx,陶辉,机械工业出版社,模块开发与架构解析,无,无,2013-4-15,584,89.00元,9787111414780
Dive Into Python 3,MarkPilgrim,Apress,无,无,无,2009-11-6,360,USD44.99,9781430224150
Python高级编程,TarekZiadé,人民邮电出版社,无,ExpertPythonProgramming,姚军,2010-1,306,45.00元,9787115217035
实现模式,KentBeck,人民邮电出版社,无,无,李剑,2009-1,176,29.00元,9787115192264
深入理解Android,邓凡平,机械工业出版社,卷I,无,无,2011-9-5,488,69.00元,9787111357629
算法设计与分析基础,Ananylevitin,清华大学出版社,无,IntroductiontotheDesignandAnalysisofAlgorithms,潘彦,2007-1-1,409,49.00元,9787302142836
深入剖析Tomcat,BudiKurniawan/PaulDeck,机械工业出版社华章公司,无,HowTomcatWorks:AGuidetoDevelopingYourOwnJavaServletContainer,曹旭东,2011-12-31,360,59.00元,9787111369974
编程的修炼（中英双语）,[荷]EdsgerW.Dijkstra,电子工业出版社,无,ADisciplineofProgramming,裘宗燕,2013-7,456,79.00元,9787121202506
Advance Bash-Scripting Guide,无,无,无,AdvancedBash-ScriptingGuide,无,无,无,无,9781430319306
Linux/Unix设计思想,甘卡兹,人民邮电出版社,无,LinuxandtheUnixPhilosophy,漆犇,2012-3-28,168,39.00元,9787115266927
Clojure编程,ChasEmerick/BrianCarper/ChristopheGrand,电子工业出版社,Java世界的Lisp实践,ClojureProgramming,徐明明,2013-3-26,618,99.00元,9787121197185
代码之髓,[日]西尾泰和,人民邮电出版社,编程语言核心概念,コーディングを支える技術~成り立ちから学ぶプログラミング作法,曾一鸣,2014-8,236,45.00元,9787115361530
Objective-C 2.0程序设计,StephenG.Kochan,机械工业出版社,无,ProgramminginObjective-C2.0(2ndEdition),张波,2009年9月,460,66.00元,9787111276869
PHP与MySQL 5程序设计,W.JasonGilmore,人民邮电出版社,无,"BeginningPHPandMySQL5,2ndEd.",朱涛江,2007年01月,634,79.00元,9787115155092
Head First JavaScript,MichaelMorrison,O'ReillyMedia,无,无,无,2007-12-30,652,GBP30.99,9780596527747
编写可维护的JavaScript,扎卡斯,人民邮电出版社,无,MaintainableJavaScript,李晶,2013-4,226,55.00元,9787115310088
